mean_unexpcost,median_unexpcost,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median,RiskSum,comp1,comp2,comp3,comp4,comp5,comp6
3.0,3.0,3.0,3.0,3.0,3.0,2.4285714285699997,2.0,4.28571428571,4.0,1.14285714286,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Elect Comp,1.0,1.0,5.0,5.0,1,83,1.0,1.0,1.0,1.0,28.857142857139998,-0.5695536686661768,-0.4215380110661665,-0.7315460748273002,1.3422634483071363,0.05528523616286014,-0.5874832706089737
1.7,2.0,3.0,3.0,3.0,3.0,2.9,3.0,3.1,4.0,1.6,2.0,1.3,1.0,2.0,2.0,1.8,1,5.0,5.0,Fabrication,2.0,1.0,4.0,5.0,1,83,1.0,1.0,1.0,1.0,28.4,-0.054529326128761976,-0.8187792475161305,-0.9050151010862141,-0.7988049956072232,3.5474108182701407,1.2270389418076924
2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,5,473,1.0,1.0,1.0,1.0,31.0,-0.6652523728029107,-0.9926073902043421,-0.44904402039163227,-0.1832251263040838,-0.03202423088842547,-1.0897713419699986
1.9894736842099998,2.0,5.0,5.0,5.0,5.0,1.0789473684200002,1.0,4.78421052632,5.0,2.22631578947,2.0,1.05789473684,1.0,2.0,2.0,3.96842105263,5,4.76315789474,5.0,Fabrication,1.15094339623,1.0,4.71698113208,5.0,2,630,1.0434782608700002,1.0,2.5652173913,1.0,33.34504123311,1.204669970030525,0.6352430712405792,-0.39645934296957636,0.719919244300938,1.0404358614116065,-0.02266342768067193
3.18518518519,4.0,1.22222222222,1.0,1.85185185185,2.0,4.18518518519,5.0,2.37037037037,1.0,2.0,2.0,1.0,1.0,1.25925925926,1.0,4.40740740741,5,2.44444444444,2.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,920,1.0,1.0,1.4166666666699999,1.0,30.268518518529998,0.5228903491788743,-1.4083729878129676,1.1877218713490687,0.31079195210107374,-0.3004107620335325,0.13333033540388453
2.78947368421,3.0,5.0,5.0,5.0,5.0,1.1052631578899998,1.0,1.7894736842099996,1.0,1.7894736842099996,2.0,1.0,1.0,3.0,3.0,2.1578947368400003,3,5.0,5.0,Elect Comp,1.0,1.0,4.2,5.0,1,1212,1.0,1.0,1.70588235294,1.0,27.5374613003,0.4076822244017477,-0.028377466349499808,-0.5676563267288718,-0.22399123768142626,0.3414756657278934,0.3624323007202947
1.38888888889,1.0,4.88888888889,5.0,4.88888888889,5.0,1.0,1.0,3.16666666667,3.0,1.0,1.0,1.0,1.0,1.8888888888900002,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1212,1.0,1.0,1.70588235294,1.0,25.15032679739,-0.585286301485812,0.3780919868315335,-1.32004436676698,-0.2579175517534419,-0.34140876336938936,-0.21447998987526742
1.2,1.0,2.0,2.0,2.0,2.0,1.2,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,27.69166666667,-0.5743766687168425,1.6083925683843097,-0.26365918151762696,-0.9422968422335732,0.028976617964934257,-0.7014553671374026
2.0,2.0,3.66666666667,4.0,3.66666666667,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,30.29166666667,-0.4301344297286163,1.6884228889773847,0.13569498370477237,-0.38029550932706746,0.0065696189574018194,-0.8047176293448032
1.6666666666699999,1.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,2.66666666667,3.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,Fabrication,1.0,1.0,5.0,5.0,3,1250,1.5416666666699999,1.0,3.75,4.0,27.62500000001,1.3255461749956234,1.5343479367434736,0.5812383915955799,-0.48569830921910634,-0.29045483649018783,0.732481440482932
2.27272727273,2.0,3.0909090909099994,3.0,3.0909090909099994,3.0,1.1818181818200002,1.0,2.8181818181800002,3.0,1.04545454545,1.0,1.13636363636,1.0,1.54545454545,2.0,1.09090909091,1,3.22727272727,2.0,Accessories/OEM,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,26.609848484839997,-0.6019340502566942,1.7255316477963794,0.39401251922715347,-0.3308660552365011,-0.2356565317188881,0.009300877519838829
3.0,3.0,3.0,3.0,3.0,3.0,1.79310344828,2.0,4.551724137930001,5.0,1.6551724137900001,2.0,1.0,1.0,1.0,1.0,4.9310344827599994,5,5.0,5.0,User Interfaces,1.0,1.0,4.47826086957,5.0,1,1396,1.0,1.0,2.58333333333,2.0,32.99262868566,0.3666744419474581,0.30645853878186224,-0.03482583389883979,1.1455834968824132,0.969384047355932,-0.33757369762752837
2.16666666667,2.0,1.0,1.0,1.33333333333,1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,4.42857142857,5.0,1,1396,1.0,1.0,2.58333333333,2.0,27.17857142857,-1.011498563182437,-0.6318160493388604,0.3317879665930973,-0.8855648430802021,0.4854202630793527,-0.7123903967097165
2.47058823529,2.0,1.0,1.0,1.0,1.0,3.2941176470599998,4.0,1.94117647059,1.0,1.0,1.0,1.11764705882,1.0,1.41176470588,1.0,1.0,1,3.76470588235,5.0,Indirect,1.0,1.0,5.0,5.0,1,1396,1.0,1.0,2.58333333333,2.0,26.58333333332,-0.8629229181551078,-0.1887618683339823,0.5119695511188778,-0.5398208597520818,-0.32945859532417987,-0.38114806267647866
2.42663378545,2.0,1.6202219482100002,1.0,1.6411837238,1.0,2.88532675709,3.0,2.9765721331700004,3.0,1.0172626387200001,1.0,1.02836004932,1.0,1.3353884093700001,1.0,1.17509247842,1,4.70036991369,5.0,Fabrication,1.0,1.0,4.74200913242,5.0,1,1396,1.0,1.0,2.58333333333,2.0,27.87034863098,-0.8263841496465001,-0.019406561932374514,0.06501293314407146,-0.05114303778138717,0.23272183285826584,-0.5801105153420331
