,comp1,comp2,comp3,comp4,comp5,comp6
mean_unexpcost,-0.04942425412168086,0.06924758474471797,-0.04967587621968475,-0.3482460107574997,0.27889813656167195,0.09403155022667332
mean_return_spend,0.02148376698897767,-0.001418442439010929,-0.029132995840437114,0.01118569391913629,0.004326661832333453,0.009413471291784789
mean_qty,0.009914872092088432,0.22110705756085322,0.8738772253596427,0.07112822759647056,0.3534545760866785,0.09951137503750557
mean_costsave,0.008181637805244252,-0.06335966181876626,-0.14828082636188653,-0.773384840993993,0.3859627784278968,0.10306511833351795
mean_spend,0.2568953476129331,0.028076125202832865,-0.07223174172062496,-0.020983916773772135,-0.07196664054878545,0.1212421649068445
mean_leadtime,0.09961717328449463,0.09455456723891624,0.034582232082733956,-0.003997735392131368,0.24771694432752872,0.11945627514704742
mean_abc,0.8866342252452782,0.322233762083239,-0.018180044101591013,-0.08420719818205401,-0.09195254078571491,-0.16708557247958197
mean_source,0.3285917648147928,-0.9019019340552444,0.17902340549540438,0.05574059655462738,0.15619028497696552,-0.09800768500610631
mean_late,0.0005062311289922799,-0.0038949213811683195,0.0007650977801089737,0.0021751911907925115,0.0032033537763136648,-0.0021857487161084967
mean_early,0.03321020127849347,0.017730270252879033,-0.08870544785696634,0.006500224444040458,-0.036920108862006626,0.07671109587524491
%Critical,0.16061503184391715,-0.031001306800606077,-0.20448452848201504,0.304934177534126,0.18995429462834346,0.8611890436674423
quality_risk_mean,0.003762010387271925,-0.013592388040752466,-0.10402500476922916,0.06899421753983427,0.07437908165277686,-0.03420692416962909
delivery_risk_mean,0.00208181186763866,0.11761838451624312,-0.33427137559165826,0.40861968523855624,0.7112790670653674,-0.39413945545331697
