mean_unexpcost,median_unexpcost,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median,comp1,comp2,comp3,comp4,comp5,comp6,RiskSum
3.0,3.0,3.0,3.0,3.0,3.0,2.4285714285699997,2.0,4.28571428571,4.0,1.14285714286,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Elect Comp,1.0,1.0,5.0,5.0,1,83,1.0,1.0,1.0,1.0,2.7344173701995964,-0.4950802702279682,0.8851266222768537,2.7493772986527523,-1.3638614552955473,-4.168061310788147,28.857142857139998
1.7,2.0,3.0,3.0,3.0,3.0,2.9,3.0,3.1,4.0,1.6,2.0,1.3,1.0,2.0,2.0,1.8,1,5.0,5.0,Fabrication,2.0,1.0,4.0,5.0,1,83,1.0,1.0,1.0,1.0,3.3748287825895904,-1.1122927135801524,0.6397399204074805,1.5809123727259051,-1.5816570554978633,-4.0557478309566894,28.4
2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,5,473,1.0,1.0,1.0,1.0,3.0210173901095603,-1.1074602783583807,0.48491531211396677,1.5097255078153309,-1.375510648044843,-4.6007282510570064,31.0
1.9894736842099998,2.0,5.0,5.0,5.0,5.0,1.0789473684200002,1.0,4.78421052632,5.0,2.22631578947,2.0,1.05789473684,1.0,2.0,2.0,3.96842105263,5,4.76315789474,5.0,Fabrication,1.15094339623,1.0,4.71698113208,5.0,2,630,1.0434782608700002,1.0,2.5652173913,1.0,5.616969912177781,-0.03583578772721069,0.7765253352120287,2.6091776823759583,-1.5525387179552843,-3.9256745912819855,33.34504123311
3.18518518519,4.0,1.22222222222,1.0,1.85185185185,2.0,4.18518518519,5.0,2.37037037037,1.0,2.0,2.0,1.0,1.0,1.25925925926,1.0,4.40740740741,5,2.44444444444,2.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,920,1.0,1.0,1.4166666666699999,1.0,4.4440810418343935,-2.1308203340770646,-1.99635644894977,1.8437179462990463,-0.6613851141131606,-3.176659473876869,30.268518518529998
2.78947368421,3.0,5.0,5.0,5.0,5.0,1.1052631578899998,1.0,1.7894736842099996,1.0,1.7894736842099996,2.0,1.0,1.0,3.0,3.0,2.1578947368400003,3,5.0,5.0,Elect Comp,1.0,1.0,4.2,5.0,1,1212,1.0,1.0,1.70588235294,1.0,4.15339039880364,-0.2358823445802916,0.930730170830701,1.5002302459508376,-1.1744313345629576,-3.705549275369119,27.5374613003
1.38888888889,1.0,4.88888888889,5.0,4.88888888889,5.0,1.0,1.0,3.16666666667,3.0,1.0,1.0,1.0,1.0,1.8888888888900002,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1212,1.0,1.0,1.70588235294,1.0,2.9663061569069904,0.17436424244519033,1.686859580232868,1.7254340321162187,-0.99278109093296,-3.8008618320654026,25.15032679739
1.2,1.0,2.0,2.0,2.0,2.0,1.2,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,2.97924167941196,0.11985243900421994,1.5924708364649853,1.5410385199641676,-0.989039182852424,-3.8491400375741947,27.69166666667
2.0,2.0,3.66666666667,4.0,3.66666666667,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,3.3633014911262924,0.19816263823345115,1.2188396083154898,1.9094772590667506,-0.9387293655512431,-3.9358676662723404,30.29166666667
1.6666666666699999,1.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,2.66666666667,3.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,Fabrication,1.0,1.0,5.0,5.0,3,1250,1.5416666666699999,1.0,3.75,4.0,3.545910957485504,0.41249103478708404,0.08212714142006122,1.9400677581758257,-0.03379392589752907,-2.3275767317214804,27.62500000001
2.27272727273,2.0,3.0909090909099994,3.0,3.0909090909099994,3.0,1.1818181818200002,1.0,2.8181818181800002,3.0,1.04545454545,1.0,1.13636363636,1.0,1.54545454545,2.0,1.09090909091,1,3.22727272727,2.0,Accessories/OEM,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,2.6134388174391883,0.16184323282298296,0.5230666308627984,1.9863302537504204,-0.4035109666490287,-2.918430272915835,26.609848484839997
3.0,3.0,3.0,3.0,3.0,3.0,1.79310344828,2.0,4.551724137930001,5.0,1.6551724137900001,2.0,1.0,1.0,1.0,1.0,4.9310344827599994,5,5.0,5.0,User Interfaces,1.0,1.0,4.47826086957,5.0,1,1396,1.0,1.0,2.58333333333,2.0,5.366320596235749,-0.6165663563004238,0.436057449512078,2.7202279602508472,-1.859583546293413,-4.062381028065365,32.99262868566
2.16666666667,2.0,1.0,1.0,1.33333333333,1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,4.42857142857,5.0,1,1396,1.0,1.0,2.58333333333,2.0,2.1642730739819465,-1.651661773996421,0.44616874906331866,1.1481743895535161,-1.337965675081643,-4.189923597491392,27.17857142857
2.47058823529,2.0,1.0,1.0,1.0,1.0,3.2941176470599998,4.0,1.94117647059,1.0,1.0,1.0,1.11764705882,1.0,1.41176470588,1.0,1.0,1,3.76470588235,5.0,Indirect,1.0,1.0,5.0,5.0,1,1396,1.0,1.0,2.58333333333,2.0,2.201311867428284,-1.2088047333568226,-0.05531082192997558,1.4422961538380352,-0.6520020515754694,-3.5301623106209865,26.58333333332
2.42663378545,2.0,1.6202219482100002,1.0,1.6411837238,1.0,2.88532675709,3.0,2.9765721331700004,3.0,1.0172626387200001,1.0,1.02836004932,1.0,1.3353884093700001,1.0,1.17509247842,1,4.70036991369,5.0,Fabrication,1.0,1.0,4.74200913242,5.0,1,1396,1.0,1.0,2.58333333333,2.0,2.51638652910186,-0.9153062569418946,0.6433963034021277,1.8527509315686712,-1.1921575750889835,-3.953237564573966,27.87034863098
2.83333333333,2.5,1.0,1.0,1.0,1.0,4.66666666667,5.0,2.0,2.0,1.33333333333,1.0,1.0,1.0,1.0,1.0,3.0,3,5.0,5.0,Accessories,1.0,1.0,5.0,5.0,1,1396,1.0,1.0,2.58333333333,2.0,3.5216408915639206,-2.23886955669414,-0.37477704863881955,1.295417684229071,-1.4225571592844497,-4.470096741627943,31.41666666666
