mean_unexpcost,median_unexpcost,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median,comp1,comp2,comp3,comp4,comp5,comp6,RiskSum
3.0,3.0,3.0,3.0,3.0,3.0,2.4285714285699997,2.0,4.28571428571,4.0,1.14285714286,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Elect Comp,1.0,1.0,5.0,5.0,1,83,1.0,1.0,1.0,1.0,3.2857105003549534,-3.4541598517932304,1.4209025920692642,-3.6041954153252167,4.5386583188625735,1.9035891313274593,28.857142857139998
1.7,2.0,3.0,3.0,3.0,3.0,2.9,3.0,3.1,4.0,1.6,2.0,1.3,1.0,2.0,2.0,1.8,1,5.0,5.0,Fabrication,2.0,1.0,4.0,5.0,1,83,1.0,1.0,1.0,1.0,4.1454215132104055,-3.1162479861326142,2.106437004042838,-2.278857999589336,3.8200381399481635,1.551738566725176,28.4
2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,5,473,1.0,1.0,1.0,1.0,3.8463396378746713,-3.3170617360742654,2.192259359126646,-0.9230923891449381,4.841332126724777,5.141399894267189,31.0
1.9894736842099998,2.0,5.0,5.0,5.0,5.0,1.0789473684200002,1.0,4.78421052632,5.0,2.22631578947,2.0,1.05789473684,1.0,2.0,2.0,3.96842105263,5,4.76315789474,5.0,Fabrication,1.15094339623,1.0,4.71698113208,5.0,2,630,1.0434782608700002,1.0,2.5652173913,1.0,6.311466689263761,-2.6908594740302996,-0.14232140224914624,-3.712638642846481,3.7886467048547505,2.2224414554303435,33.34504123311
3.18518518519,4.0,1.22222222222,1.0,1.85185185185,2.0,4.18518518519,5.0,2.37037037037,1.0,2.0,2.0,1.0,1.0,1.25925925926,1.0,4.40740740741,5,2.44444444444,2.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,920,1.0,1.0,1.4166666666699999,1.0,5.606098841416886,0.42528605273349185,2.62379642481766,-2.5068439957650916,3.5142853895807855,1.59497147687933,30.268518518529998
2.78947368421,3.0,5.0,5.0,5.0,5.0,1.1052631578899998,1.0,1.7894736842099996,1.0,1.7894736842099996,2.0,1.0,1.0,3.0,3.0,2.1578947368400003,3,5.0,5.0,Elect Comp,1.0,1.0,4.2,5.0,1,1212,1.0,1.0,1.70588235294,1.0,4.52836273410525,-3.1315325131754648,0.6828861045651125,-1.814719931090017,3.1730044478648045,1.4378505397025045,27.5374613003
1.38888888889,1.0,4.88888888889,5.0,4.88888888889,5.0,1.0,1.0,3.16666666667,3.0,1.0,1.0,1.0,1.0,1.8888888888900002,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1212,1.0,1.0,1.70588235294,1.0,3.294250809850941,-3.8252070894336225,0.4249495676782901,-2.2758477915697166,3.135233438972564,1.4640067447554714,25.15032679739
1.2,1.0,2.0,2.0,2.0,2.0,1.2,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,3.3173122008494476,-3.780362314121204,0.5813172975224974,-2.0300171955035213,3.1567292394758257,1.4437141538661094,27.69166666667
2.0,2.0,3.66666666667,4.0,3.66666666667,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,3.475024169702676,-3.580076523359767,0.4359656156402895,-2.3308351204130293,3.804590722162909,1.7379496693340355,30.29166666667
1.6666666666699999,1.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,2.66666666667,3.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,Fabrication,1.0,1.0,5.0,5.0,3,1250,1.5416666666699999,1.0,3.75,4.0,2.956261083155465,-1.1963260227551873,-0.7176479648530423,-1.795086539870696,2.75986717707156,3.566708411016006,27.62500000001
