,comp1,comp2,comp3,comp4,comp5,comp6
mean_unexpcost,4.813851227910747e-18,-3.357810449103489e-18,-3.489730296663106e-17,1.931123030804549e-17,-2.644037362430496e-18,3.9730006482128816e-17
mean_return_spend,-5.535340871112214e-17,6.883107614049876e-17,1.5007819422982301e-16,8.269224413612882e-17,9.591329896614082e-17,1.548925427107239e-16
mean_qty,2.4493880088173243e-16,1.9226901969744645e-15,1.0000000000000002,-3.3326457881377426e-16,9.822462621567935e-16,1.6649470541005796e-15
mean_costsave,-9.17158771601101e-16,-2.0639788189056352e-15,-1.482649870552551e-16,-1.0000000000000002,-5.943874393492995e-16,1.916989882346314e-15
mean_spend,-1.6432496971503817e-16,5.670789679149406e-18,7.885875526356851e-18,-1.553006156471335e-16,6.9321817428986695e-18,2.2360188865832303e-17
mean_leadtime,-1.1665573705606208e-16,-7.555384132601396e-18,7.10585465034054e-17,-1.9661101792387865e-16,7.639662640960839e-17,-2.3645805194779914e-17
mean_abc,0.9999999999999997,3.1894237582536345e-16,2.517777274468959e-17,-1.033477508732147e-15,-6.588001235715077e-16,-1.8954006191972377e-15
mean_source,8.853678454450482e-16,-1.0,1.8338955889606305e-15,2.0728610486794253e-15,2.8825938148939135e-15,-1.240489073468336e-15
mean_late,-2.1330891638419002e-17,-6.118728865794662e-17,-1.2880136193372526e-16,5.0805504476864766e-17,4.3728688978010655e-17,3.460385276907728e-17
mean_early,7.58085457064758e-18,1.1610007609512732e-18,1.2357770953410757e-17,-4.251018312735114e-17,-1.292230480389904e-17,-4.5477684043034536e-18
%Critical,2.0876326818323956e-15,-1.2329655599578697e-15,-1.6814339345859339e-15,1.7572364313231404e-15,4.845500605825216e-16,0.9999999999999994
quality_risk_mean,-1.9866657200819378e-17,1.3361192187962896e-17,4.608206661618572e-18,-7.193655153373571e-17,-2.4851413072420822e-17,-3.147682458065551e-17
delivery_risk_mean,5.300098718466538e-16,3.08297752737974e-15,-9.894702652809057e-16,-5.837977912382771e-16,0.9999999999999998,-7.960327748262738e-16
