mean_unexpcost,median_unexpcost,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median,RiskSum,comp1,comp2,comp3,comp4,comp5,comp6
3.0,3.0,3.0,3.0,3.0,3.0,2.4285714285699997,2.0,4.28571428571,4.0,1.14285714286,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Elect Comp,1.0,1.0,5.0,5.0,1,83,1.0,1.0,1.0,1.0,28.857142857139998,-1.0025616939034088,-1.2444895736057502,0.16172876711356796,-1.2610669741624023,-0.9692673997255509,-0.34256055363321086
1.7,2.0,3.0,3.0,3.0,3.0,2.9,3.0,3.1,4.0,1.6,2.0,1.3,1.0,2.0,2.0,1.8,1,5.0,5.0,Fabrication,2.0,1.0,4.0,5.0,1,83,1.0,1.0,1.0,1.0,28.4,-0.20256169390340692,-1.2444895736057455,0.6331573385435691,-0.07535268845240406,-0.9692673997255508,-0.342560553633214
2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,5,473,1.0,1.0,1.0,1.0,31.0,-1.0025616939033954,-1.2444895736057453,1.733157338543564,0.024647311547601726,-0.9692673997255373,3.6574394463667907
1.9894736842099998,2.0,5.0,5.0,5.0,5.0,1.0789473684200002,1.0,4.78421052632,5.0,2.22631578947,2.0,1.05789473684,1.0,2.0,2.0,3.96842105263,5,4.76315789474,5.0,Fabrication,1.15094339623,1.0,4.71698113208,5.0,2,630,1.0434782608700002,1.0,2.5652173913,1.0,33.34504123311,1.9658593587265925,-1.0076474683457408,-1.187895293036439,-1.7595632147724052,0.5959499915744447,0.6574394463667756
3.18518518519,4.0,1.22222222222,1.0,1.85185185185,2.0,4.18518518519,5.0,2.37037037037,1.0,2.0,2.0,1.0,1.0,1.25925925926,1.0,4.40740740741,5,2.44444444444,2.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,920,1.0,1.0,1.4166666666699999,1.0,30.268518518529998,2.4048457135065875,1.3110659819542654,1.9183425237335647,0.654276941177588,-0.5526007330555565,-0.3425605536332213
2.78947368421,3.0,5.0,5.0,5.0,5.0,1.1052631578899998,1.0,1.7894736842099996,1.0,1.7894736842099996,2.0,1.0,1.0,3.0,3.0,2.1578947368400003,3,5.0,5.0,Elect Comp,1.0,1.0,4.2,5.0,1,1212,1.0,1.0,1.70588235294,1.0,27.5374613003,0.15533304293659542,-1.2444895736057437,-1.1615795035664316,1.235173627337597,-0.26338504678555336,-0.3425605536332209
1.38888888889,1.0,4.88888888889,5.0,4.88888888889,5.0,1.0,1.0,3.16666666667,3.0,1.0,1.0,1.0,1.0,1.8888888888900002,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1212,1.0,1.0,1.70588235294,1.0,25.15032679739,-1.0025616939034068,-1.244489573605749,-1.2668426614564325,-0.1420193551224015,-0.26338504678555247,-0.342560553633216
1.2,1.0,2.0,2.0,2.0,2.0,1.2,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,27.69166666667,-1.0025616939034048,-1.2444895736057435,-1.0668426614564368,0.024647311547597476,1.7807326002744495,-0.3425605536332212
2.0,2.0,3.66666666667,4.0,3.66666666667,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,5.0,5.0,1,1250,1.5416666666699999,1.0,3.75,4.0,30.29166666667,-1.0025616939034045,-1.2444895736057437,-1.2668426614564372,0.02464731154759738,1.7807326002744492,-0.3425605536332214
1.6666666666699999,1.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,2.66666666667,3.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,Fabrication,1.0,1.0,5.0,5.0,3,1250,1.5416666666699999,1.0,3.75,4.0,27.62500000001,-1.0025616939034068,1.7555104263942558,-1.2668426614564465,0.024647311547596525,1.780732600274444,1.6574394463667783
